Time=, 10.000057870347176
zr, Tmp, Sal, O2 , TA , DIC, DIC_13C, NO3, NO3_15N, NH4, NH4_15N, PO4, PO4_P1, LDOC, LDOC_13C, RDOC, RDOC_13C, LPOC, LPOC_13C, RPOC, RPOC_13C, CPOC, CPOC_13C, LDON, LDON_15N, RDON, RDON_15N, LPON, LPON_15N, RPON, RPON_15N, CPON, CPON_15N, LDOP, LDOP_P1, RDOP, RDOP_P1, LPOP, LPOP_P1, RPOP, RPOP_P1, CPOP, CPOP_P1, PIC, PIC_13C, Mn2 , MnO2, Fe2 , FeS2, FeS2_34S, FeOOH, FeOOH_PO4, FeOOH_PO4_P1, H2S, H2S_34S, SO4, SO4_34S, S0 , S0_34S
-1.0000000000000000, 24.867081670156221, 33.995670093221534, 233.72014536892695, 2259.2325506990423, 1997.1036671272177, -0.32623502371215595E+148, 0.14388563160520557, 0.21206430827151625E-5, 0.27491059297598874, 0.26475010502029855E-4, 0.30085197349856697E-1, 0.22456390596626847E-4, 0.88712039415528729E-1, 0.0000000000000000, 50.195547579163062, -0.91792333003137279E-310, 7141.5891764550788, 2.6776136695973514, 1177750.5117984398, 15.626634375916414, 149762.06774541625, 0.0000000000000000, 0.13390496515551426E-1, 0.53352872914806761E-5, 7.5766864270438816, 0.29064169736743671E-4, 928.54511019669314, 0.51099430575550231, 177490.97178610731, 6.0336458110972524, 19060.626803961852, 0.55730484378697809E-2, 0.83690603222196414E-3, 0.26233105346404970E-6, 0.47354290169024260, 0.14703662849065752E-5, 30.773810531485516, 0.31518845399110665E-1, 11041.615231241145, 3.0057388414118740, 544.58933725605948, 0.17451675609709151E-1, 2135221.9884794788, 0.29476055939694194E-3, 0.0000000000000000, 32.189519028593629, 0.0000000000000000, 275.21562814202872, 1.2044233367652244, 11.506961821584799, 0.41162111130688333E-10, 0.40594409558644688E-13, 0.0000000000000000, 0.0000000000000000, 28050.228250835480, 125.91065339931100, 590.30423359393308, 2.5878055293302071
0.10000000000000001, 24.904625656427612, 33.995641179128448, 192.76340183212093, 2317.1581472084113, 2091.3444042866759, -0.33437151950752129E+148, 0.46733043805497282E-1, 0.18689998473562870E-5, 0.14437365422482559, 0.35363705304949773E-4, 0.10407287289666374E-1, 0.79513185028351126E-5, 0.88900263736212959E-1, 0.26898354286150000E-14, 51.185476985181161, 0.40078162577064316E-3, 7141.5917672577880, 2.6776119722509906, 1177750.5196196369, 15.626633550090451, 149762.12780652600, 0.0000000000000000, 0.13418907730221559E-1, 0.51862582639340102E-5, 7.7261097334616871, 0.67825262509701621E-3, 928.54543740141276, 0.51099428248431711, 177490.97272840756, 6.0336460338479521, 19060.634448103094, 0.55730562748698784E-2, 0.83868173347558103E-3, 0.25524475828552020E-6, 0.48288185841588055, 0.22108546380230875E-3, 30.773819331987159, 0.31518830536512762E-1, 11041.615246670124, 3.0057384396305098, 544.58955566009490, 0.17451684733517176E-1, 2135221.9839932555, 0.29476055808078176E-3, 0.30434397645652222, 32.189483194633098, 0.90149987543768385E-2, 275.21563665679099, 1.2044233741200627, 11.507086955892502, 0.41163036632487607E-10, 0.40593390821441582E-13, 26.656643188189086, 0.11722674318170348, 28004.565359043088, 125.70981261671486, 590.30409722991681, 2.5878049329960717
0.23266517673070708, 25.236037822655124, 33.995259551492474, 6.6149634239194075, 3270.4447329008490, 3121.6536460180087, -0.42864082009816024E+148, 0.10308361870771333E-2, 0.30737190059595702E-6, 0.12371911040663379, 0.40746866086277910E-4, 0.40070318476020080E-2, 0.26873523766840989E-5, 0.89175176235939485E-1, 0.66132213556629464E-14, 51.200366315449195, 0.40679416025210600E-3, 7019.9393881847291, 2.4004784317688608, 1178982.0001087922, 15.489813303821364, 149961.71826859110, 0.0000000000000000, 0.13460403951423174E-1, 0.49764027702380069E-5, 7.7283571795376256, 0.68799905827279350E-3, 910.86179449738279, 0.45681016104880673, 177677.02278705797, 6.0001652414359414, 19086.036870547854, 0.55837806125120740E-2, 0.84127524779180297E-3, 0.24521747467930181E-6, 0.48302232379674648, 0.22436711761756486E-3, 29.792456363275882, 0.28303828642835538E-1, 11053.273696843353, 3.0056126732908917, 545.31533915851571, 0.17475007931699281E-1, 2137760.9635116379, 0.29510862348106797E-3, 2.6040364828041320, 28.561729424774345, 0.72982546975302820E-1, 274.86063300553633, 1.2028524482302412, 4.8732700796508164, 0.17393350169939358E-10, 0.16603645421212271E-13, 434.83845383714083, 1.9122703108152361, 27560.785033767355, 123.75818021105586, 590.22928952686766, 2.5874777785333030
0.40768279312777955, 25.417913345412892, 33.994755124764922, 0.58679755683220529E-1, 4663.8402903392825, 4407.0310771731447, -0.55303907098309858E+148, 0.43377532762466171E-4, 0.24102367593886435E-7, 0.12093856563445275, 0.34958181533067366E-4, 0.37458571298428101E-2, 0.22089874672133955E-5, 0.89556333617900025E-1, 0.11799503537079751E-13, 51.220051619786688, 0.41471648077709010E-3, 6886.3414254956670, 2.0760291250912757, 1180588.3030065522, 15.305015013508097, 150253.23323525622, 0.0000000000000000, 0.13517937134318054E-1, 0.47126586124093609E-5, 7.7313285462271137, 0.70085377499186060E-3, 891.29053695157870, 0.39402163308469584, 177919.84847665846, 5.9562721538683752, 19123.138775396150, 0.56037092483180936E-2, 0.84487107237177575E-3, 0.23254652686798020E-6, 0.48320803421631708, 0.22866797781731878E-3, 28.677700951385710, 0.24547774359464043E-1, 11068.516865663145, 3.0029625182094355, 546.37539358275455, 0.17508768129252755E-1, 2141158.6791510363, 0.29557016286235510E-3, 5.8809919612496593, 22.392981467809268, 0.19899289631895342E-1, 274.40430925684439, 1.2008322116349950, 0.71161913542882416, 0.28395920355025070E-11, 0.26617078914450713E-14, 1067.9153096523380, 4.6966837434007038, 26877.811643796333, 120.75446633863665, 585.28405499971529, 2.5657524561793990
0.63691379040360430, 25.500169063463122, 33.994091199672930, 0.17856941986384034E-3, 6399.4137818260269, 5999.8563039011924, -0.71595387450848560E+148, 0.20298748677752336E-5, 0.11949657908073756E-8, 0.11678757418484059, 0.28120203837086219E-4, 0.35657397472572748E-2, 0.17966819675367224E-5, 0.90064764609838130E-1, 0.18598749103273040E-13, 51.245818972113518, 0.42504231593631806E-3, 6743.1538181426877, 1.7099809832458688, 1182660.5455098422, 15.057293649988692, 150629.92861180301, 0.0000000000000000, 0.13594681426033440E-1, 0.43878085352707091E-5, 7.7352179578952560, 0.71762946172892713E-3, 870.17945065577703, 0.32340645718616812, 178233.39127892483, 5.8983359087741496, 19171.081823320223, 0.56356285953806399E-2, 0.84966759145438462E-3, 0.21685270268920317E-6, 0.48345112244750660, 0.23423263500163346E-3, 27.449861756588387, 0.20311770852439848E-1, 11088.250381632481, 2.9952168542232398, 547.74519495202014, 0.17551189854893460E-1, 2145563.4271405162, 0.29616095762988854E-3, 9.6689290118627618, 15.489705444457993, 0.12472859372577936E-2, 273.78586488511269, 1.1980941654284976, 0.41926639569714035E-1, 0.17881142040944556E-12, 0.16558044056150618E-15, 1857.1963523266515, 8.1689349988260016, 26029.405936783278, 117.02241635391407, 574.19234375981841, 2.5170353205303040
0.93441374833209401, 25.570869716733139, 33.993225305662961, 0.21467456611316529E-6, 8495.1600733111391, 7922.5649659671717, -0.92707112958854445E+148, 0.62240976430565747E-7, 0.37250184832393017E-10, 0.11342915469869626, 0.21322641239600644E-4, 0.34109568747049813E-2, 0.13891638043674143E-5, 0.90710771348115268E-1, 0.27427608797541942E-13, 51.279191943539743, 0.43834569252079562E-3, 6595.9115859295198, 1.3215644376900626, 1185301.3326324152, 14.733108863095545, 151001.97211663987, 0.0000000000000000, 0.13692191865483429E-1, 0.39972775625098693E-5, 7.7402553875396150, 0.73927718397347273E-3, 848.42140754365494, 0.24859552712462957, 178633.48628599386, 5.8237458242058162, 19218.432814845077, 0.56787153051864828E-2, 0.85576199502290741E-3, 0.19789647963138609E-6, 0.48376596180277331, 0.24133008230117395E-3, 26.175214112901205, 0.15821502719355954E-1, 11113.527339400564, 2.9780584918680484, 549.09808042415557, 0.17589716402946869E-1, 2151213.0632260633, 0.29690579197275938E-3, 13.730042973420156, 8.8877178885364501, 0.30929332915109469E-4, 272.92797278389736, 1.1942967586543067, 0.10338715583071885E-2, 0.45969953680160491E-14, 0.42155177355866845E-17, 2808.8419372842764, 12.356693264507927, 25007.358815485706, 112.52525844677520, 555.48189232084360, 2.4348807695895331
1.3161315248441174, 25.666630144116528, 33.992108707866414, 0.11236955310711804E-9, 10935.788943160915, 10161.162371376953, -0.11969410959238408E+149, 0.12026034946177172E-8, 0.73093831927989547E-12, 0.11119690463702434, 0.15092576125093010E-4, 0.32946813484656195E-2, 0.10162212948911670E-5, 0.91486668431287568E-1, 0.38762843484565046E-13, 51.321865894139975, 0.45524935511191813E-3, 6450.4114579175257, 0.94609621232980878, 1188615.1522159202, 14.325522429164744, 151074.49555262941, 0.0000000000000000, 0.13809308391473920E-1, 0.35421829929852821E-5, 7.7466967385675121, 0.76683873647548416E-3, 827.08191839841902, 0.17658620921613105, 179136.51597173483, 5.7322900475080338, 19227.663070334551, 0.57216751479844154E-2, 0.86308177931000208E-3, 0.17574298620735463E-6, 0.48416854624520045, 0.25022448552119005E-3, 24.955110875553839, 0.11494781083450296E-1, 11145.483056488176, 2.9446130617746245, 549.36180200957006, 0.17586887398351896E-1, 2158360.9835097226, 0.29782639008953105E-3, 17.823118470272320, 3.9293206509403444, 0.33917449381128708E-6, 271.71840662342908, 1.1889448164482326, 0.11339078444891929E-4, 0.51856055941492445E-16, 0.47151167821661039E-19, 3914.5460677741194, 17.224129751395150, 23820.289228522881, 107.30014448971139, 526.33159142961881, 2.3069223608851210
1.7991441079958319, 25.776380141134311, 33.990687449489101, 0.27894740175968123E-13, 13636.494710029257, 12636.769879375235, -0.15359001641404846E+149, 0.14882823783248933E-10, 0.91874747623557612E-14, 0.10937464635257263, 0.98366681225365932E-5, 0.32001895739472114E-2, 0.70101614660044107E-6, 0.92346832367773773E-1, 0.53120617837748447E-13, 51.375536931745067, 0.47635360641372945E-3, 6296.0479809703793, 0.62084786826393012, 1192682.8415960602, 13.835337341757192, 150137.56325667730, 0.0000000000000000, 0.13939144438623157E-1, 0.30333923444864195E-5, 7.7547980272551067, 0.80133474152331498E-3, 805.11520878470128, 0.11471037496556466, 179755.71438912052, 5.6257733794753353, 19108.417141759106, 0.57316083296374918E-2, 0.87119653403865713E-3, 0.15095515586047806E-6, 0.48467487679217203, 0.26111968795826211E-3, 23.825447305252769, 0.77655468822212873E-2, 11185.132961255851, 2.8845641305864209, 545.95477547882194, 0.17458015238093007E-1, 2167239.7621536944, 0.29893403046526301E-3, 21.907535973513152, 1.2562288736670262, 0.17781052221560599E-8, 270.04850023356084, 1.1815579757055927, 0.59472967303308184E-7, 0.27754894903353558E-18, 0.25048040514281695E-21, 5133.3031741898067, 22.591513484946493, 22512.373159297611, 101.54072813298073, 484.54708879226428, 2.1235582961574830
2.4003455242315308, 25.873003305683152, 33.988906393602164, 0.35819530735631065E-17, 16411.464891245905, 15175.837708747496, -0.19520917562395025E+149, 0.12276669768479728E-12, 0.76975316212607513E-16, 0.10648118786920600, 0.57941695966830971E-5, 0.30866830397514619E-2, 0.45626516810334780E-6, 0.93165084778594712E-1, 0.71021345246933457E-13, 51.441618810866096, 0.50212789424693746E-3, 6088.6785740961441, 0.36828503237446347, 1197527.6218146901, 13.272675701526586, 146814.11711318663, 0.0000000000000000, 0.14062654213326064E-1, 0.24945047393877598E-5, 7.7647726505097419, 0.84359056909891726E-3, 777.03932212754125, 0.67237502192197193E-1, 180496.25726493369, 5.5075197563369738, 18685.433087132897, 0.56419077444309473E-2, 0.87891589716289581E-3, 0.12471367970946049E-6, 0.48529829075050535, 0.27407979651641661E-3, 22.659061630268372, 0.48832946083203869E-2, 11233.105311708867, 2.7838800049872918, 533.86951677521802, 0.17047452708679817E-1, 2178017.1939641670, 0.30022090552594098E-3, 26.197524739556801, 0.28005910803291939, 0.48400975383268645E-11, 267.91152000536260, 1.1721018532375838, 0.16195179315620126E-9, 0.76749539148426005E-21, 0.68813399834983688E-24, 6376.6414148314652, 28.069727676792951, 21178.484232605380, 95.664300683906347, 429.73345863871020, 1.8830960062652360
3.1346566604608834, 25.929915483912055, 33.986716598194661, 0.26139160589699988E-21, 18958.578437241478, 17495.918253869771, -0.24484893888264430E+149, 0.72257196132544505E-15, 0.46009434388149044E-18, 0.10049971849633620, 0.30282102274055513E-5, 0.28960748517075203E-2, 0.28412313495855121E-6, 0.93656303672860403E-1, 0.92932568150710771E-13, 51.520851573672488, 0.53277235154032391E-3, 5749.1186482241037, 0.19446427916878581, 1203088.7868100391, 12.664148197558072, 138951.47762006341, 0.0000000000000000, 0.14136800433578418E-1, 0.19595241163943115E-5, 7.7767323128099086, 0.89400943203931228E-3, 732.75647478676740, 0.35075808403495549E-1, 181351.39383476405, 5.3832856910783571, 17684.733515280826, 0.53488170168597624E-2, 0.88355003859541266E-3, 0.98690724065812155E-7, 0.48604576965017687, 0.28893433658308185E-3, 21.163173788196225, 0.28964116380088699E-2, 11289.418275932338, 2.6263858637547268, 505.27810043657865, 0.16122338614213149E-1, 2190747.9024309916, 0.30165144826656038E-3, 30.930157236139674, 0.43379721385509822E-1, 0.75035537221762325E-14, 265.51544882089036, 1.1614829540879912, 0.25115503118337811E-12, 0.12046405239031701E-23, 0.10742013014012885E-26, 7502.4093701051224, 33.032097447227400, 19970.591077936337, 90.340814010962106, 364.30663690955441, 1.5961698647463058
